tran_id,store_id,member_id,tran_dt
2020-04-15T19:57:01.671999_0,1,1222,2019-01-01
2020-04-15T19:57:01.671999_0_1,1,1222,2020-01-01
2020-04-15T19:57:01.671999_0_2,1,1222,2021-01-01
2020-04-15T19:57:01.671999_1,1,1967,2019-01-01
2020-04-15T19:57:01.671999_1_1,1,1967,2020-01-01
2020-04-15T19:57:01.671999_1_2,1,1967,2021-01-01
2020-04-15T19:57:01.671999_10,2,1310,2019-01-02
2020-04-15T19:57:01.671999_10_1,2,1310,2020-01-02
2020-04-15T19:57:01.671999_10_2,2,1310,2021-01-02
2020-04-15T19:57:01.671999_2,2,1372,2019-01-01
2020-04-15T19:57:01.671999_2_1,2,1372,2020-01-01
2020-04-15T19:57:01.671999_2_2,2,1372,2021-01-01
2020-04-15T19:57:01.671999_3,1,1413,2019-01-01
2020-04-15T19:57:01.671999_3_1,1,1413,2020-01-01
2020-04-15T19:57:01.671999_3_2,1,1413,2021-01-01
2020-04-15T19:57:01.671999_4,2,1335,2019-01-01
2020-04-15T19:57:01.671999_4_1,2,1335,2020-01-01
2020-04-15T19:57:01.671999_4_2,2,1335,2021-01-01
2020-04-15T19:57:01.671999_5,2,1134,2019-01-01
2020-04-15T19:57:01.671999_5_1,2,1134,2020-01-01
2020-04-15T19:57:01.671999_5_2,2,1134,2021-01-01
2020-04-15T19:57:01.671999_6,2,1650,2019-01-01
2020-04-15T19:57:01.671999_6_1,2,1650,2020-01-01
2020-04-15T19:57:01.671999_6_2,2,1650,2021-01-01
2020-04-15T19:57:01.671999_7,3,1367,2019-01-02
2020-04-15T19:57:01.671999_7_1,3,1367,2020-01-02
2020-04-15T19:57:01.671999_7_2,3,1367,2021-01-02
2020-04-15T19:57:01.671999_8,3,1997,2019-01-02
2020-04-15T19:57:01.671999_8_1,3,1997,2020-01-02
2020-04-15T19:57:01.671999_8_2,3,1997,2021-01-02
2020-04-15T19:57:01.671999_9,3,1675,2019-01-02
2020-04-15T19:57:01.671999_9_1,3,1675,2020-01-02
2020-04-15T19:57:01.671999_9_2,3,1675,2021-01-02
2020-04-15T19:57:01.672998_11,3,1061,2019-01-02
2020-04-15T19:57:01.672998_11_1,3,1061,2020-01-02
2020-04-15T19:57:01.672998_11_2,3,1061,2021-01-02
2020-04-15T19:57:01.672998_12,2,1795,2019-01-02
2020-04-15T19:57:01.672998_12_1,2,1795,2020-01-02
2020-04-15T19:57:01.672998_12_2,2,1795,2021-01-02
2020-04-15T19:57:01.672998_13,3,1361,2019-01-02
2020-04-15T19:57:01.672998_13_1,3,1361,2020-01-02
2020-04-15T19:57:01.672998_13_2,3,1361,2021-01-02
2020-04-15T19:57:01.672998_14,2,1165,2019-01-02
2020-04-15T19:57:01.672998_14_1,2,1165,2020-01-02
2020-04-15T19:57:01.672998_14_2,2,1165,2021-01-02
2020-04-15T19:57:01.672998_15,3,1346,2019-01-02
2020-04-15T19:57:01.672998_15_1,3,1346,2020-01-02
2020-04-15T19:57:01.672998_15_2,3,1346,2021-01-02
2020-04-15T19:57:01.672998_16,1,1031,2019-01-02
2020-04-15T19:57:01.672998_16_1,1,1031,2020-01-02
2020-04-15T19:57:01.672998_16_2,1,1031,2021-01-02
2020-04-15T19:57:01.672998_17,2,1513,2019-01-03
2020-04-15T19:57:01.672998_17_1,2,1513,2020-01-03
2020-04-15T19:57:01.672998_17_2,2,1513,2021-01-03
2020-04-15T19:57:01.672998_18,3,1721,2019-01-03
2020-04-15T19:57:01.672998_18_1,3,1721,2020-01-03
2020-04-15T19:57:01.672998_18_2,3,1721,2021-01-03
2020-04-15T19:57:01.672998_19,3,1368,2019-01-03
2020-04-15T19:57:01.672998_19_1,3,1368,2020-01-03
2020-04-15T19:57:01.672998_19_2,3,1368,2021-01-03
2020-04-15T19:57:01.672998_20,3,1250,2019-01-03
2020-04-15T19:57:01.672998_20_1,3,1250,2020-01-03
2020-04-15T19:57:01.672998_20_2,3,1250,2021-01-03
2020-04-15T19:57:01.672998_21,3,1972,2019-01-03
2020-04-15T19:57:01.672998_21_1,3,1972,2020-01-03
2020-04-15T19:57:01.672998_21_2,3,1972,2021-01-03
2020-04-15T19:57:01.672998_22,2,1282,2019-01-03
2020-04-15T19:57:01.672998_22_1,2,1282,2020-01-03
2020-04-15T19:57:01.672998_22_2,2,1282,2021-01-03
2020-04-15T19:57:01.672998_23,3,1625,2019-01-03
2020-04-15T19:57:01.672998_23_1,3,1625,2020-01-03
2020-04-15T19:57:01.672998_23_2,3,1625,2021-01-03
2020-04-15T19:57:01.672998_24,2,1506,2019-01-03
2020-04-15T19:57:01.672998_24_1,2,1506,2020-01-03
2020-04-15T19:57:01.672998_24_2,2,1506,2021-01-03
2020-04-15T19:57:01.672998_25,2,1570,2019-01-03
2020-04-15T19:57:01.672998_25_1,2,1570,2020-01-03
2020-04-15T19:57:01.672998_25_2,2,1570,2021-01-03
2020-04-15T19:57:01.672998_26,1,1454,2019-01-03
2020-04-15T19:57:01.672998_26_1,1,1454,2020-01-03
2020-04-15T19:57:01.672998_26_2,1,1454,2021-01-03
2020-04-15T19:57:01.672998_27,1,1865,2019-01-04
2020-04-15T19:57:01.672998_27_1,1,1865,2020-01-04
2020-04-15T19:57:01.672998_27_2,1,1865,2021-01-04
2020-04-15T19:57:01.672998_28,2,1371,2019-01-04
2020-04-15T19:57:01.672998_28_1,2,1371,2020-01-04
2020-04-15T19:57:01.672998_28_2,2,1371,2021-01-04
2020-04-15T19:57:01.672998_29,3,1074,2019-01-04
2020-04-15T19:57:01.672998_29_1,3,1074,2020-01-04
2020-04-15T19:57:01.672998_29_2,3,1074,2021-01-04
2020-04-15T19:57:01.672998_30,1,1701,2019-01-04
2020-04-15T19:57:01.672998_30_1,1,1701,2020-01-04
2020-04-15T19:57:01.672998_30_2,1,1701,2021-01-04
2020-04-15T19:57:01.672998_31,3,1333,2019-01-04
2020-04-15T19:57:01.672998_31_1,3,1333,2020-01-04
2020-04-15T19:57:01.672998_31_2,3,1333,2021-01-04
2020-04-15T19:57:01.672998_32,2,1336,2019-01-04
2020-04-15T19:57:01.672998_32_1,2,1336,2020-01-04
2020-04-15T19:57:01.672998_32_2,2,1336,2021-01-04
2020-04-15T19:57:01.672998_33,3,1487,2019-01-04
2020-04-15T19:57:01.672998_33_1,3,1487,2020-01-04
2020-04-15T19:57:01.672998_33_2,3,1487,2021-01-04
2020-04-15T19:57:01.672998_34,3,1142,2019-01-04
2020-04-15T19:57:01.672998_34_1,3,1142,2020-01-04
2020-04-15T19:57:01.672998_34_2,3,1142,2021-01-04
2020-04-15T19:57:01.672998_35,1,1085,2019-01-04
2020-04-15T19:57:01.672998_35_1,1,1085,2020-01-04
2020-04-15T19:57:01.672998_35_2,1,1085,2021-01-04
2020-04-15T19:57:01.672998_36,3,1366,2019-01-04
2020-04-15T19:57:01.672998_36_1,3,1366,2020-01-04
2020-04-15T19:57:01.672998_36_2,3,1366,2021-01-04
2020-04-15T19:57:01.672998_37,1,1973,2019-01-05
2020-04-15T19:57:01.672998_37_1,1,1973,2020-01-05
2020-04-15T19:57:01.672998_37_2,1,1973,2021-01-05
